tsne-3d-one,tsne-3d-two,tsne-3d-three,Prompt,Property
-9.805246,-10.650863,-14.266338,Frame the benefits of the product or service as solutions to common challenges or obstacles faced by the user.,Benefits vs. Features
-12.004786,-15.812115,-16.454453,"Emphasize the emotional benefits of the product or service, such as increased confidence or happiness.",Benefits vs. Features
-9.399331,-13.855413,-13.2502985,"Use visual imagery to illustrate the benefits of the product or service in action, making them more tangible and relatable to the user.",Benefits vs. Features
-9.693801,-14.200491,-14.953443,"Frame this text as a demonstration of the product or service's benefits in real-world scenarios, showing how they make a difference in everyday life.",Benefits vs. Features
-13.26216,-15.5321865,-16.76245,"Highlight the health and wellness benefits of the product or service, such as improved physical fitness or mental well-being.",Benefits vs. Features
-11.861501,-13.371538,-16.34027,Emphasize the cost savings and financial advantages of the product or service's benefits to the user.,Benefits vs. Features
-11.6031475,-13.699655,-13.673742,Use the language of empowerment to convey how the product or service's benefits enable the user to take control of their life or circumstances.,Benefits vs. Features
-12.859574,-15.907644,-14.070657,"Frame the benefits of the product or service as investments in the user's future, with long-lasting positive effects.",Benefits vs. Features
-10.940164,-12.153313,-16.95716,"Highlight the time-saving benefits of the product or service, emphasizing how it frees up more time for the user to focus on what matters most.",Benefits vs. Features
-14.8169365,-15.387029,-15.669014,"Emphasize the social benefits of the product or service, such as increased social connections or networking opportunities.",Benefits vs. Features
-11.841972,-10.508321,-19.254448,"Frame this text as a guide to unlocking the full potential of the product or service's benefits, maximizing their impact on the user's life.",Benefits vs. Features
-15.575587,-5.282691,-18.801409,"Highlight the sustainability and environmental benefits of the product or service, appealing to eco-conscious users.",Benefits vs. Features
-10.764369,-12.612396,-16.421526,Use the language of convenience and ease to communicate how the product or service's benefits simplify the user's life.,Benefits vs. Features
-12.607863,-15.420851,-14.759989,Frame the benefits of the product or service as investments in the user's well-being and quality of life.,Benefits vs. Features
-13.52397,-7.7911754,-14.434318,Emphasize the versatility and adaptability of the product or service's benefits to meet the user's evolving needs.,Benefits vs. Features
-11.658309,-13.759197,-13.782812,Use the language of empowerment to convey how the product or service's benefits enable the user to overcome challenges and achieve their goals.,Benefits vs. Features
-9.861434,-15.136078,-18.630503,"Highlight the reliability and consistency of the product or service's benefits, providing reassurance to the user.",Benefits vs. Features
-11.767973,-10.484626,-19.304342,"Frame this text as a roadmap to success, with the product or service's benefits serving as essential milestones along the way.",Benefits vs. Features
-11.713832,-15.445025,-15.133859,"Emphasize the transformative effects of the product or service's benefits on the user's life, showing how they lead to personal growth and fulfillment.",Benefits vs. Features
-10.48344,-15.08576,-18.354954,Use the language of security and peace of mind to convey how the product or service's benefits provide a sense of stability and assurance to the user.,Benefits vs. Features
14.250835,11.594848,-10.598569,"Refine this text to adhere to formal language conventions, avoiding colloquialisms and slang.",Formality
1.0483865,13.227292,-12.32464,Use elevated vocabulary and sophisticated syntax to convey a sense of professionalism and authority in this text.,Formality
2.917576,2.5429413,-20.910309,"Frame this text as a formal report or memorandum, structured with headings, subheadings, and bullet points for clarity.",Formality
0.47738647,13.744027,-15.702386,Incorporate formal salutations and sign-offs appropriate for professional correspondence in this text.,Formality
-0.85296977,15.102005,-13.765333,Use complete sentences and proper grammar throughout this text to maintain a formal tone.,Formality
14.8031645,11.57532,-10.935507,Avoid contractions and abbreviations in this text to uphold a formal writing style.,Formality
-2.5158386,-12.566048,-21.038998,Include citations and references to authoritative sources to support claims and assertions in this text.,Formality
4.6098742,13.370854,-13.05261,Employ third-person perspective and passive voice constructions to convey objectivity and formality in this text.,Formality
1.6465547,16.41684,-13.329435,"Use formal titles and honorifics when referring to individuals in this text, such as ""Mr.,Ms.,"" or ""Dr.",Formality
1.8844452,2.1572926,-21.886341,"Frame this text as a formal proposal or recommendation, outlining objectives, methods, and anticipated outcomes in a structured manner.",Formality
8.019943,-1.5583935,-20.277822,Incorporate footnotes or endnotes to provide additional context or explanatory information in this text.,Formality
2.580905,16.191292,-15.221768,"Use formal language conventions such as ""please"" and ""thank you"" to convey politeness and respect in this text.",Formality
-1.0890399,14.415728,-14.187341,Employ a consistent tone and style throughout this text to maintain a sense of formality and professionalism.,Formality
2.0581214,3.3609889,-20.804316,"Frame this text as a formal presentation or speech, with organized points and transitions between topics.",Formality
4.693103,0.6151018,-19.119436,Include a table of contents or executive summary at the beginning of this text to provide an overview of its contents.,Formality
3.3579826,16.696417,-13.007208,"Use formal language conventions for addressing groups or organizations, such as ""Dear Board of Directors"" or ""To Whom It May Concern.",Formality
0.593041,8.642395,-16.927153,"Frame this text as a formal request or inquiry, clearly stating the purpose and desired outcome.",Formality
3.661439,13.235499,-13.787908,Incorporate formal language structures such as passive voice and nominalization to enhance the formality of this text.,Formality
3.2096095,4.390731,7.5390153,Use objective and neutral language to present information and avoid personal opinions or biases in this text.,Formality
2.681315,9.76803,-15.818754,"Frame this text as a formal announcement or notification, providing clear and concise information to recipients.",Formality
10.628912,-0.04251236,-22.818811,Include a glossary of terms or definitions for specialized terminology used in this text to aid reader understanding.,Formality
7.1086764,-14.412044,-20.397345,Use formal transitions and connectors to guide the reader through the logical flow of ideas in this text.,Formality
2.9597461,15.948123,-13.657562,Employ formal language conventions for addressing individuals of different hierarchical levels or positions in this text.,Formality
2.1835318,0.15512328,-22.670925,"Frame this text as a formal review or critique, providing constructive feedback and recommendations.",Formality
4.7536845,16.861568,-14.457167,Use formal language conventions for citing sources and referencing external materials in this text.,Formality
6.0202847,13.888581,-15.590669,Incorporate formal language structures such as subjunctive mood and conditional sentences to convey hypothetical scenarios or possibilities in this text.,Formality
-1.8087183,-0.6597005,-2.1542883,"Frame this text as a formal interview or interrogation, with structured questions and responses.",Formality
2.6822534,16.193768,-15.445221,Use formal language conventions for expressing gratitude and appreciation in this text.,Formality
-0.4949773,15.173791,-15.583003,Employ a formal register and tone appropriate for academic or professional settings in this text.,Formality
1.6543584,0.8037015,-21.762262,"Frame this text as a formal analysis or evaluation, applying objective criteria and methodology.",Formality
2.8500764,16.15533,-14.199613,Use formal language conventions for addressing individuals with respect and deference in this text.,Formality
4.059472,13.380079,-13.667924,Incorporate formal language structures such as nominalizations and passive voice constructions to convey objectivity and detachment in this text.,Formality
2.508683,9.608501,-15.238344,"Frame this text as a formal announcement or proclamation, conveying important information to a wide audience.",Formality
4.5288515,15.71454,-14.962845,Use formal language conventions for expressing agreement or disagreement in this text.,Formality
-0.55378276,15.316376,-15.866697,Employ a formal register and tone appropriate for legal or regulatory contexts in this text.,Formality
2.741633,-14.934573,-18.012802,"Frame this text as a formal argument or debate, presenting logical reasoning and evidence to support claims.",Formality
5.921474,14.230406,-15.628696,Incorporate formal language structures such as conditional clauses and modal verbs to express possibility and probability in this text.,Formality
5.2137413,15.298474,-15.367263,Use formal language conventions for expressing uncertainty or hedging statements in this text.,Formality
-0.30319068,15.402272,-15.744846,Employ a formal register and tone appropriate for diplomatic or ceremonial occasions in this text.,Formality
2.0060537,-0.26126266,-21.93147,"Frame this text as a formal critique or analysis, evaluating strengths and weaknesses with objectivity.",Formality
6.0237093,13.860535,-15.583896,Incorporate formal language structures such as subjunctive mood and conditional sentences to convey hypothetical situations or outcomes in this text.,Formality
3.3048792,16.428272,-16.356712,Use formal language conventions for expressing condolences or sympathy in this text.,Formality
-1.4661826,-15.523259,0.19573703,"Infuse this text with vivid imagery, using similes and metaphors to paint a vivid picture in the reader's mind.",Figurative Language
-0.7650301,-7.945115,-1.339993,Employ personification to bring inanimate objects or abstract concepts to life in this text.,Figurative Language
13.848252,3.92572,18.719011,Use hyperbole to exaggerate certain aspects of this text for dramatic effect or emphasis.,Figurative Language
24.851177,1.8886758,2.2325442,Incorporate alliteration or consonance to create rhythm and musicality in this text.,Figurative Language
22.088062,3.1713257,7.2583647,Employ onomatopoeia to evoke sensory experiences and add texture to this text.,Figurative Language
5.3562307,-8.283821,-5.7654905,Use symbolism to imbue objects or actions in this text with deeper meaning or significance.,Figurative Language
9.745498,-5.8044434,21.73649,Infuse this text with irony or sarcasm to convey layers of meaning and provoke thought in the reader.,Figurative Language
18.69974,12.101956,3.8459206,Employ oxymorons or paradoxes to create tension and intrigue in this text.,Figurative Language
-6.0069013,-13.874466,1.6102186,Incorporate imagery from nature to evoke emotions and enhance the tone of this text.,Figurative Language
10.930403,3.8127153,6.778446,Use euphemisms to soften or mitigate potentially harsh or sensitive language in this text.,Figurative Language
2.010314,-7.682502,-6.729302,Employ allegory to convey complex ideas or themes through symbolic storytelling in this text.,Figurative Language
0.10862899,-15.4808655,4.888958,"Infuse this text with sensory details, appealing to the reader's senses of sight, sound, smell, taste, and touch.",Figurative Language
13.420192,-13.302982,-2.5335743,Use repetition or parallelism to reinforce key ideas and create a sense of rhythm in this text.,Figurative Language
5.965581,-4.7828703,1.7804996,Employ antithesis or contrast to highlight juxtapositions and create tension in this text.,Figurative Language
7.291223,-20.999966,10.928664,Incorporate foreshadowing to hint at future events and build anticipation in this text.,Figurative Language
19.500408,-6.761661,3.885202,"Use synecdoche to represent a whole by referring to a part, or vice versa, in this text.",Figurative Language
12.058721,-4.726896,26.017986,Infuse this text with irony or satire to critique societal norms or behaviors in a humorous or mocking way.,Figurative Language
10.04886,0.4658527,14.633741,Employ understatement to downplay or trivialize certain aspects of this text for comedic or rhetorical effect.,Figurative Language
11.234205,-14.85507,-4.281281,Incorporate motifs or recurring symbols to reinforce themes and unify the narrative in this text.,Figurative Language
-6.876069,11.9663725,12.668809,Use imagery from mythology or folklore to add depth and richness to this text.,Figurative Language
-6.865165,12.5302305,-5.280581,Infuse this text with idiom or colloquial expressions to add authenticity and flavor to the language.,Figurative Language
6.2643604,-5.237366,1.5924094,Employ juxtaposition to highlight contrasts and contradictions in this text.,Figurative Language
3.6441352,-8.727042,-4.261025,Incorporate extended metaphors to explore complex concepts or emotions in this text.,Figurative Language
7.12773,-7.52954,-12.64939,Use analogy to clarify abstract ideas by comparing them to familiar concepts in this text.,Figurative Language
23.761816,4.3968377,1.9278173,"Infuse this text with euphony or cacophony to create pleasing or discordant sounds, respectively.",Figurative Language
-6.150761,-13.841143,1.5914769,"Employ imagery from the natural world to convey themes of growth, transformation, and renewal in this text.",Figurative Language
24.846006,3.3356414,1.3681818,Incorporate literary devices such as assonance or consonance to create harmony or dissonance in this text.,Figurative Language
-6.8816557,11.978402,12.677541,Use imagery from mythology or folklore to add depth and resonance to this text.,Figurative Language
5.386155,-8.46784,-5.5247765,Infuse this text with symbolism to imbue objects or actions with deeper meaning or significance.,Figurative Language
12.449278,-4.7818236,26.357653,Employ irony or satire to critique societal norms or behaviors in a humorous or provocative manner in this text.,Figurative Language
1.3434124,-7.8331842,-6.97196,Incorporate allegory to convey moral or philosophical ideas through symbolic storytelling in this text.,Figurative Language
-0.57978433,-7.721135,-1.6831089,"Use personification to animate inanimate objects or abstract concepts, adding depth and texture to this text.",Figurative Language
13.542711,2.8807492,18.53398,Infuse this text with hyperbole or exaggeration to emphasize certain aspects for dramatic effect or humor.,Figurative Language
-5.9890623,-13.881145,1.6193659,Employ imagery from the natural world to evoke emotions and enhance the tone of this text.,Figurative Language
18.85543,12.283203,3.7304878,Incorporate oxymorons or paradoxes to create tension and complexity in this text.,Figurative Language
-0.69329286,-15.078028,-1.4020468,Use metaphor or simile to draw striking comparisons and create vivid mental images in this text.,Figurative Language
24.793537,2.057154,2.0844815,Infuse this text with alliteration or consonance to create rhythm and musicality in the language.,Figurative Language
9.806178,-5.7746096,21.706934,Employ irony or sarcasm to convey layers of meaning and provoke thought in the reader in this text.,Figurative Language
0.06360294,-15.642564,4.7751904,Incorporate sensory details to appeal to the reader's senses and immerse them in the experience described in this text.,Figurative Language
5.4064474,-8.364293,-5.7854733,Use symbolism to imbue objects or actions with deeper meaning or significance in this text.,Figurative Language
1.4074614,-10.32828,-1.69253,Infuse this text with figurative language to enhance its descriptive power and evoke emotional responses in the reader.,Figurative Language
-6.9102135,11.882197,12.554322,Employ imagery from mythology or folklore to add richness and depth to the narrative in this text.,Figurative Language
13.3083105,-13.38224,-2.6417255,Incorporate repetition or parallelism to reinforce key ideas and create a sense of rhythm and unity in this text.,Figurative Language
5.1572266,-13.999879,-6.649191,"Create a storyboard for this text, using illustrations or images to visually convey the narrative.",Visual Storytelling
5.440151,-9.736311,-8.213281,Use visual metaphors to represent abstract concepts or emotions in this text.,Visual Storytelling
6.3678412,-15.709382,-8.85878,Incorporate graphic elements such as icons or symbols to enhance the visual appeal and clarity of this text.,Visual Storytelling
9.320011,-9.778076,-20.971455,Design an infographic to summarize key information or data presented in this text.,Visual Storytelling
6.7816544,-18.045866,-10.0352955,Use typography and layout design to emphasize important points and guide the reader's attention in this text.,Visual Storytelling
9.735462,-9.331463,-23.024652,Create a visual timeline to illustrate the chronological sequence of events described in this text.,Visual Storytelling
8.272932,-16.07659,-10.270426,Incorporate visual cues such as color coding or iconography to help the reader navigate and understand complex information in this text.,Visual Storytelling
13.159118,-7.4460473,-19.573536,Design a flowchart or diagram to illustrate the decision-making process or workflow described in this text.,Visual Storytelling
3.7696164,-13.78002,-5.0620036,Use visual storytelling techniques such as sequential art or comic panels to bring the narrative to life in this text.,Visual Storytelling
3.2010517,-15.633237,-9.85344,Incorporate multimedia elements such as videos or interactive graphics to engage the reader and enhance their understanding of this text.,Visual Storytelling
9.587003,-9.151447,-20.059736,Design a series of infographics to break down complex topics or processes into digestible visual components in this text.,Visual Storytelling
7.338365,-7.506301,-19.511896,Use data visualization techniques such as charts or graphs to illustrate trends or patterns described in this text.,Visual Storytelling
4.824981,-10.216388,-7.71786,Create a visual metaphor to convey the central theme or message of this text.,Visual Storytelling
8.316356,-16.479471,-12.489968,Design a visual hierarchy to prioritize information and guide the reader's attention through this text.,Visual Storytelling
-4.4833636,-8.526115,-3.0707884,Incorporate storytelling techniques such as character illustrations or scene depictions to immerse the reader in the narrative of this text.,Visual Storytelling
8.211432,-11.269144,1.4553765,Use visual pacing techniques such as panel layout or image size to control the flow of information and create tension in this text.,Visual Storytelling
7.939013,-9.898149,-20.450933,Design a visual summary or recap to reinforce key points and concepts presented in this text.,Visual Storytelling
1.9945066,-17.531252,-9.042365,Incorporate interactive elements such as clickable hotspots or animated transitions to engage the reader and enhance their experience of this text.,Visual Storytelling
-4.310043,-14.304301,2.4348829,Create a visual representation of the setting or environment described in this text to evoke a sense of place and atmosphere.,Visual Storytelling
5.130727,-9.507036,-8.19302,Use visual metaphors or symbols to convey abstract ideas or themes in this text.,Visual Storytelling
4.8837056,-14.011763,-6.004933,Design a visual narrative arc to structure the progression of events and emotional beats in this text.,Visual Storytelling
7.1535277,-2.6856909,-20.076649,Incorporate visual annotations or callouts to provide additional context or explanation for specific elements in this text.,Visual Storytelling
6.8723745,-17.26908,-6.1905546,Create a mood board to establish the visual tone and aesthetic style of this text.,Visual Storytelling
2.2649286,-15.934622,-5.0591125,Use visual storytelling techniques such as composition and framing to evoke specific emotions or reactions in the reader.,Visual Storytelling
9.65759,-15.196049,-5.117858,Design a visual motif or recurring element to reinforce thematic elements and unify the visual language of this text.,Visual Storytelling
8.829678,-6.9917364,-15.251129,Incorporate visual metaphors or analogies to simplify complex concepts and make them more accessible to the reader in this text.,Visual Storytelling
6.4353147,-12.7628,-6.98943,Create a visual journey map to guide the reader through the narrative progression and character development in this text.,Visual Storytelling
5.2595544,-14.3089695,-4.3361487,Use visual storytelling techniques such as visual rhythm and pacing to create a sense of movement and energy in this text.,Visual Storytelling
8.642206,-15.609972,-6.036985,"Design a visual identity for this text, including logos, branding elements, and color schemes to establish a cohesive visual style.",Visual Storytelling
7.9531183,-20.224625,11.526467,Incorporate visual storytelling techniques such as foreshadowing or visual cues to hint at future events and build suspense in this text.,Visual Storytelling
10.445538,-0.34749213,-23.066994,Create a visual glossary to define key terms or concepts introduced in this text.,Visual Storytelling
3.264431,-9.445357,-6.105952,Use visual storytelling techniques such as juxtaposition or visual irony to convey deeper layers of meaning and commentary in this text.,Visual Storytelling
-10.550428,-3.3110635,2.4564745,Design a visual character profile to introduce and develop characters in this text.,Visual Storytelling
2.9206564,-8.488897,-6.3097057,Incorporate visual storytelling techniques such as symbolism or allegory to explore complex themes and ideas in this text.,Visual Storytelling
9.62264,-15.175728,-5.1335874,Create a visual motif or recurring visual element to reinforce thematic elements and unify the visual language of this text.,Visual Storytelling
5.2798142,-14.338114,-4.428131,Use visual storytelling techniques such as visual pacing or composition to create a sense of rhythm and flow in this text.,Visual Storytelling
4.8835483,-14.011756,-6.0049434,Design a visual narrative arc to structure the progression of events and emotional beats in this text.,Visual Storytelling
7.1535015,-2.6856463,-20.076693,Incorporate visual annotations or callouts to provide additional context or explanation for specific elements in this text.,Visual Storytelling
6.8723745,-17.26908,-6.1905546,Create a mood board to establish the visual tone and aesthetic style of this text.,Visual Storytelling
2.2649286,-15.934622,-5.0591125,Use visual storytelling techniques such as composition and framing to evoke specific emotions or reactions in the reader.,Visual Storytelling
9.65759,-15.196057,-5.117846,Design a visual motif or recurring element to reinforce thematic elements and unify the visual language of this text.,Visual Storytelling
8.829678,-6.9917364,-15.251129,Incorporate visual metaphors or analogies to simplify complex concepts and make them more accessible to the reader in this text.,Visual Storytelling
6.4353147,-12.7628,-6.98943,Create a visual journey map to guide the reader through the narrative progression and character development in this text.,Visual Storytelling
14.250837,11.594849,-10.598569,"Refine this text to adhere to formal language conventions, avoiding colloquialisms and slang.",Formality
1.0483865,13.227292,-12.32464,Use elevated vocabulary and sophisticated syntax to convey a sense of professionalism and authority in this text.,Formality
2.9175613,2.5429368,-20.910309,"Frame this text as a formal report or memorandum, structured with headings, subheadings, and bullet points for clarity.",Formality
0.47738647,13.744027,-15.702386,Incorporate formal salutations and sign-offs appropriate for professional correspondence in this text.,Formality
-0.85296977,15.102005,-13.765333,Use complete sentences and proper grammar throughout this text to maintain a formal tone.,Formality
14.80313,11.575414,-10.935415,Avoid contractions and abbreviations in this text to uphold a formal writing style.,Formality
-2.5158386,-12.566048,-21.038998,Include citations and references to authoritative sources to support claims and assertions in this text.,Formality
4.6098742,13.370854,-13.05261,Employ third-person perspective and passive voice constructions to convey objectivity and formality in this text.,Formality
1.6465547,16.41684,-13.329435,"Use formal titles and honorifics when referring to individuals in this text, such as ""Mr.,Ms.,"" or ""Dr.",Formality
1.8849179,2.1561573,-21.886208,"Frame this text as a formal proposal or recommendation, outlining objectives, methods, and anticipated outcomes in a structured manner.",Formality
8.019943,-1.5583935,-20.277822,Incorporate footnotes or endnotes to provide additional context or explanatory information in this text.,Formality
2.5801518,16.191858,-15.221701,"Use formal language conventions such as ""please"" and ""thank you"" to convey politeness and respect in this text.",Formality
-1.0889271,14.415438,-14.187501,Employ a consistent tone and style throughout this text to maintain a sense of formality and professionalism.,Formality
2.0581214,3.3609889,-20.804316,"Frame this text as a formal presentation or speech, with organized points and transitions between topics.",Formality
4.693103,0.6151018,-19.119436,Include a table of contents or executive summary at the beginning of this text to provide an overview of its contents.,Formality
3.3579817,16.69642,-13.007208,"Use formal language conventions for addressing groups or organizations, such as ""Dear Board of Directors"" or ""To Whom It May Concern.",Formality
0.593041,8.642395,-16.927153,"Frame this text as a formal request or inquiry, clearly stating the purpose and desired outcome.",Formality
3.661439,13.235499,-13.787908,Incorporate formal language structures such as passive voice and nominalization to enhance the formality of this text.,Formality
3.209606,4.390733,7.5390244,Use objective and neutral language to present information and avoid personal opinions or biases in this text.,Formality
2.6812828,9.768065,-15.818585,"Frame this text as a formal announcement or notification, providing clear and concise information to recipients.",Formality
10.628912,-0.04251236,-22.818811,Include a glossary of terms or definitions for specialized terminology used in this text to aid reader understanding.,Formality
7.108768,-14.412028,-20.397358,Use formal transitions and connectors to guide the reader through the logical flow of ideas in this text.,Formality
2.9597466,15.948118,-13.657563,Employ formal language conventions for addressing individuals of different hierarchical levels or positions in this text.,Formality
2.1835318,0.15512328,-22.670925,"Frame this text as a formal review or critique, providing constructive feedback and recommendations.",Formality
4.7536845,16.861568,-14.457167,Use formal language conventions for citing sources and referencing external materials in this text.,Formality
6.0202847,13.888581,-15.590669,Incorporate formal language structures such as subjunctive mood and conditional sentences to convey hypothetical scenarios or possibilities in this text.,Formality
-1.8087183,-0.6597005,-2.1542883,"Frame this text as a formal interview or interrogation, with structured questions and responses.",Formality
2.6822534,16.193768,-15.445221,Use formal language conventions for expressing gratitude and appreciation in this text.,Formality
-0.49497733,15.17379,-15.583,Employ a formal register and tone appropriate for academic or professional settings in this text.,Formality
1.6543957,0.80370456,-21.762274,"Frame this text as a formal analysis or evaluation, applying objective criteria and methodology.",Formality
2.8502135,16.155277,-14.199599,Use formal language conventions for addressing individuals with respect and deference in this text.,Formality
4.059472,13.380079,-13.667924,Incorporate formal language structures such as nominalizations and passive voice constructions to convey objectivity and detachment in this text.,Formality
2.508683,9.608501,-15.238344,"Frame this text as a formal announcement or proclamation, conveying important information to a wide audience.",Formality
4.5286903,15.714507,-14.962845,Use formal language conventions for expressing agreement or disagreement in this text.,Formality
-0.55378276,15.316376,-15.866697,Employ a formal register and tone appropriate for legal or regulatory contexts in this text.,Formality
2.741633,-14.934573,-18.012802,"Frame this text as a formal argument or debate, presenting logical reasoning and evidence to support claims.",Formality
5.866581,14.363719,-15.625957,Incorporate formal language conventions such as conditional clauses and modal verbs to express possibility and probability in this text.,Formality
5.2137413,15.298474,-15.367263,Use formal language conventions for expressing uncertainty or hedging statements in this text.,Formality
-0.30319068,15.402272,-15.744846,Employ a formal register and tone appropriate for diplomatic or ceremonial occasions in this text.,Formality
2.0060537,-0.26126266,-21.93147,"Frame this text as a formal critique or analysis, evaluating strengths and weaknesses with objectivity.",Formality
6.0237093,13.860535,-15.583896,Incorporate formal language structures such as subjunctive mood and conditional sentences to convey hypothetical situations or outcomes in this text.,Formality
3.3048792,16.428272,-16.356712,Use formal language conventions for expressing condolences or sympathy in this text.,Formality
13.06164,-3.9978054,13.476669,Inject humor into this text by incorporating puns or wordplay to elicit laughter or amusement.,Humor
13.684965,1.2879833,18.58686,Use exaggeration or hyperbole to create comedic effect and entertain the reader in this text.,Humor
11.312027,-5.2367544,22.105698,Employ irony or sarcasm to convey humor by highlighting absurdities or contradictions in this text.,Humor
12.202635,-5.877599,13.94789,Infuse this text with wit and cleverness by incorporating humorous observations or commentary.,Humor
13.194069,-9.667202,17.573849,Create comedic timing and pacing by using pauses and breaks in the text to build suspense and deliver punchlines effectively.,Humor
14.912286,-7.447634,16.226192,Use comedic repetition or callbacks to reinforce jokes and enhance comedic impact in this text.,Humor
9.512732,-9.473053,16.560423,Employ unexpected twists or surprises to catch the reader off guard and generate laughter in this text.,Humor
14.124887,-4.036834,20.079556,Incorporate comedic juxtaposition by combining contrasting elements or ideas to create humor in this text.,Humor
4.653211,2.4648063,20.179453,Use self-deprecation or humility to poke fun at oneself and connect with the reader on a human level in this text.,Humor
13.831102,-5.250959,17.775291,"Frame this text as a humorous narrative or anecdote, using storytelling techniques to engage the reader and evoke laughter.",Humor
13.440865,-3.599938,16.63735,Infuse this text with comedic imagery or visual gags to enhance the humor and entertain the reader.,Humor
13.070906,-9.273077,18.071762,Employ comedic timing and pacing to deliver punchlines and jokes with precision and impact in this text.,Humor
12.096134,-2.3427093,18.573727,Use absurdity or surrealism to create humor by subverting expectations and challenging conventional logic in this text.,Humor
17.183544,-5.1219897,16.780977,Incorporate comedic misunderstandings or miscommunications to generate laughter and engage the reader in this text.,Humor
15.009274,-2.7722542,18.511995,Employ situational comedy by placing characters in humorous or absurd situations to elicit laughter in this text.,Humor
14.205164,-1.3701531,16.879883,Use slapstick humor or physical comedy to create laughter through exaggerated actions or movements in this text.,Humor
13.446393,-5.4134893,12.579692,Infuse this text with comedic wordplay or double entendres to add depth and complexity to the humor.,Humor
12.442745,-4.237864,26.310312,Employ comedic irony or satire to critique societal norms or behaviors in a humorous and thought-provoking manner in this text.,Humor
12.983848,-9.885657,17.551262,Use comedic timing and pacing to build tension and anticipation before delivering punchlines or jokes in this text.,Humor
12.4506445,-4.983467,16.841782,Incorporate humorous asides or parenthetical comments to add levity and entertain the reader in this text.,Humor
15.656248,-8.0251,16.27984,Employ comedic callbacks or running gags to create a sense of continuity and cohesion throughout this text.,Humor
12.311389,-2.3592558,18.53323,Use absurdist humor or surrealism to challenge conventional thinking and spark laughter in this text.,Humor
17.58783,-5.070103,16.953798,Incorporate comedic misunderstandings or misinterpretations to create humorous conflicts and resolutions in this text.,Humor
13.294703,-3.8298187,12.496536,Employ wordplay or puns to create humor by playing with language and meaning in this text.,Humor
12.004963,-4.3860946,26.088766,Infuse this text with comedic irony or satire to critique societal norms or behaviors in a humorous and thought-provoking manner.,Humor
20.5338,3.4941561,21.266321,Use observational humor to comment on everyday life and experiences in a humorous and relatable way in this text.,Humor
12.078991,-2.3403242,18.58261,Employ absurdity or surrealism to create humor by subverting expectations and challenging conventional logic in this text.,Humor
15.026758,-2.799876,18.506065,Incorporate situational comedy by placing characters in humorous or absurd situations to elicit laughter in this text.,Humor
14.205199,-1.3701357,16.879889,Use slapstick humor or physical comedy to create laughter through exaggerated actions or movements in this text.,Humor
11.984556,-6.156806,15.39783,Infuse this text with witty banter or playful dialogue to entertain the reader and create humor.,Humor
12.442249,-4.236839,26.309788,Employ comedic irony or satire to critique societal norms or behaviors in a humorous and thought-provoking manner in this text.,Humor
12.983848,-9.885657,17.551262,Use comedic timing and pacing to build tension and anticipation before delivering punchlines or jokes in this text.,Humor
12.450646,-4.983479,16.841787,Incorporate humorous asides or parenthetical comments to add levity and entertain the reader in this text.,Humor
15.656248,-8.0251,16.27984,Employ comedic callbacks or running gags to create a sense of continuity and cohesion throughout this text.,Humor
12.311383,-2.3592725,18.533205,Use absurdist humor or surrealism to challenge conventional thinking and spark laughter in this text.,Humor
17.58783,-5.070103,16.953798,Incorporate comedic misunderstandings or misinterpretations to create humorous conflicts and resolutions in this text.,Humor
13.294684,-3.8298354,12.4965105,Employ wordplay or puns to create humor by playing with language and meaning in this text.,Humor
12.005134,-4.38602,26.088835,Infuse this text with comedic irony or satire to critique societal norms or behaviors in a humorous and thought-provoking manner.,Humor
20.533827,3.4941647,21.266321,Use observational humor to comment on everyday life and experiences in a humorous and relatable way in this text.,Humor
4.1851764,-4.2020273,-12.274805,Enhance the specificity of this text by providing concrete examples or precise details to illustrate key points.,Specificity
-3.3331783,-15.281839,1.9579122,Use descriptive language to paint a vivid picture of the setting or environment depicted in this text.,Specificity
0.32237518,-13.64826,-21.825407,Incorporate specific data or statistics to support claims and provide evidence in this text.,Specificity
1.2866299,0.33987206,-27.962177,Provide detailed explanations or step-by-step instructions to clarify complex concepts or processes in this text.,Specificity
12.171298,-0.15898979,-7.207922,Use specific terminology or jargon relevant to the subject matter of this text to enhance clarity and precision.,Specificity
-3.7973719,-13.605781,-20.649216,Incorporate quotes or testimonials from credible sources to add authenticity and specificity to this text.,Specificity
1.2726593,-7.9538274,-16.799755,Frame this text around a specific case study or real-life example to demonstrate the application of concepts in a practical context.,Specificity
1.988977,-9.18324,-16.064625,Use specific examples or anecdotes to illustrate broader themes or principles discussed in this text.,Specificity
2.7596333,1.955167,-24.924072,Provide specific guidelines or criteria to help the reader understand expectations or requirements outlined in this text.,Specificity
-4.458366,-8.607748,-2.6614735,"Incorporate specific details about characters, settings, and events to immerse the reader in the narrative of this text.",Specificity
4.2681093,-5.256512,-27.904537,Use specific measurements or units of measurement to quantify results or outcomes described in this text.,Specificity
10.280225,-9.276951,-23.874266,Provide specific dates or timelines to establish a clear sequence of events or milestones in this text.,Specificity
-13.418069,-6.2790756,-0.6817893,Incorporate specific names or identities to personalize the content and make it more relatable to the reader in this text.,Specificity
1.0865638,-9.843317,-16.835022,Use specific examples or case studies to demonstrate the effectiveness or benefits of a particular approach or strategy in this text.,Specificity
